Title,Author(s),Medium
The Wages of Destruction: The Making & Breaking of the Nazi Economy,Adam Tooze,Physical
Oathbringer,Brandon Sanderson,Physical
The Sugar Barons: Family Corruption Empire and War,Matthew Parker,Physical
The City and the Stars,Arthur C. Clarke,Physical
The Moon is a Harsh Mistress,Robert A. Heinlein,Physical
Becoming a Supple Leopard,Dr. Kelly Starrett & Glen Cordoza,Physical
Principles of Economics,N. Gregory Mankiw,Physical
London for Dogs,Sarah Guy,Physical
Taliesin's Map: The Comparative Guide to Celtic Mythology,J. Dolan,Physical
The Dog Encyclopedia,DK,Physical
The Curry Guy Easy,Dan Toombs,Physical
The Curry Guy,Dan Toombs,Physical
Craft Pizza,Maxine Clark,Physical
Atlas Obscura,Joshua Foer & Dylan Thuras & Ella Morton,Physical
Anabolics 11th Edition,William Llewellyn,Physical
Life on Svalbard,Cecilia Blomdahl,Physical
The New Encyclopedia of Modern Bodybuilding,Arnold Schwarzenegger,Physical
What Would Arnie Do?,Pop Press,Physical
Bird Songs,Les Beletsky,Physical
White Heat 25,Marco Pierre White,Physical
The Way of Kings,Brandon Sanderson,Physical
Words of Radiance,Brandon Sanderson,Physical
Rhythm of War,Brandon Sanderson,Physical
Freedom's Forge,Arthur Herman,Physical
Skunk Works,Ben R. Rich & Leo Janos,Physical
Material World,Ed Conway,Physical
The Anarchy,William Dalrymple,Physical
Apple in China,Patrick McGee,Physical
Drayton and Mackenzie,Alexander Starritt,Physical
Brunel: The Man Who Built the World,Steven Brindle,Physical
Unfinished Tales,J.R.R. Tolkien,Physical
The Silmarillion,J.R.R. Tolkien,Physical
Millennium,Tom Holland,Physical
Gold Warriors,Sterling Seagrave & Peggy Seagrave,Physical
My Heart & Other Black Holes,Jasmine Warga,Physical
Freedom Evolves,Daniel C. Dennett,Physical
The Inventions That Will Transform Our Lives,Michio Kaku,Physical
My Dog's First Year: A Journal,Pop Press,Physical
The Genius of Dogs,Brian Hare & Vanessa Woods,Physical
Time Out Country Walks: 52 Walks Near London,Peter Conway & David Cooke,Physical
Inside of a Dog: What Dogs See Smell and Know,Alexandra Horowitz,Physical
Mighty Monty,M.T. Sanders,Physical
Rather Splendid London Walks,Julian McDonnell,Physical
Stuff Matters,Mark Miodownik,Physical
Cracking the Coding Interview,Gayle Laakmann McDowell,Physical
Influence,Robert B. Cialdini,Physical
The Madness of Crowds,Douglas Murray,Physical
Introduction to Magic Vol. I,Julius Evola,Physical
The Trap,James Goldsmith,Physical
The Daily Stoic Journal,Ryan Holiday & Stephen Hanselman,Physical
The Daily Stoic,Ryan Holiday & Stephen Hanselman,Physical
On the Origin of Species,Charles Darwin,Physical
The Highly Sensitive Person,Elaine N. Aron,Physical
Superintelligence,Nick Bostrom,Physical
The Wealth of Nations,Adam Smith,Physical
Age Later,Nir Barzilai M.D.,Physical
The Circadian Code,Dr. Satchin Panda,Physical
The Status Game,Will Storr,Physical
Tryptamine Palace,James Oroc,Physical
Technological Slavery,Theodore John Kaczynski,Physical
Death by Black Hole,Neil deGrasse Tyson,Physical
Balancing Acts,Lamarre,Physical
Built to Move,Kelly Starrett & Juliet Starrett,Physical
Meditations,Marcus Aurelius,Physical
Superforecasting: The Art and Science of Prediction,Philip Tetlock & Dan Gardner,Physical
How to Lie with Statistics,Darrell Huff,Physical
How to Take Smart Notes,Sönke Ahrens,Physical
Manufacturing Consent,Edward S. Herman & Noam Chomsky,Physical
How Not to Die,Michael Greger M.D. & Gene Stone,Physical
Everything You Need to Know About Fat Loss,Chris Aceto,Physical
The Wim Hof Method,Wim Hof,Physical
Breath,James Nestor,Physical
The Bitcoin Standard,Saifedean Ammous,Physical
The Psychology of Money,Morgan Housel,Physical
Principles,Ray Dalio,Physical
Unknown Market Wizards,Jack D. Schwager,Physical
Five Rules for Successful Stock Investing,Pat Dorsey,Physical
Alpha Trader,Brent Donnelly,Physical
The Technological Republic,Alexander C. Karp & Nicholas W. Zamiska,Physical
The Changing World Order,Ray Dalio,Physical
Flash Crash,Liam Vaughan,Physical
Reminiscences of a Stock Operator,Edwin Lefèvre,Physical
Economics for Dummies,Sean Masaki Flynn,Physical
Option Volatility and Pricing,Sheldon Natenberg,Physical
BOOM,Hobart & Huber,Physical
Unsettled?,Steven E. Koonin,Physical
The World: A Family History,Simon Sebag Montefiore,Physical
A Programmer's Geometry,Bowyer & Woodwark,Physical
The Pragmatic Programmer,David Thomas & Andrew Hunt,Physical
Maps of Meaning,Jordan B. Peterson,Physical
Counter-Clock World,Philip K. Dick,Physical
The Tipping Point,Malcolm Gladwell,Physical
The Moon,Oliver Morton,Physical
It Didn't Start With You,Mark Wolynn,Physical
The Lean Startup,Eric Ries,Physical
Programming Game AI by Example,Mat Buckland,Physical
An Introduction to Database Systems,C.J. Date,Physical
Game Engine Architecture,Jason Gregory,Physical
On the Edge,Nate Silver,Physical
The Rise of Carry,Tim Lee & Jamie Lee & Kevin Coldiron,Physical
The Elephant in the Brain,Kevin Simler & Robin Hanson,Physical
The Ride of a Lifetime,Robert Iger,Physical
Sprint,Jake Knapp & John Zeratsky & Braden Kowitz,Physical
The Alignment Problem,Brian Christian,Physical
Aroused: The History of Hormones and How They Control Just About Everything,Randi Hutter Epstein,Physical
The Conscious Mind,David Chalmers,Physical
